AI-CLICHE DETECTION DB  -  22762 entries
format: [severity] domain/type | category | TERM :: why
[medium] both/opener | claude census | Every session (full file) :: Overused AI term catalogued from the 'claude' census sweep (source count 8).
[medium] both/opener | legal medical census | Every single bullet point begins with a bold keyword :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[medium] both/opener | social-media hook | Everyone's sleeping on this :: Formulaic AI-generated social hook framing content as an overlooked secret.
[medium] both/opener | filler transition | First and foremost :: Formulaic enumerating opener LLMs lean on to start a point.
[medium] both/opener | mystery thriller census | From Alcoholic Detective to Complex Protagonist :: Overused AI term catalogued from the 'mystery thriller' census sweep (source count 1).
[medium] both/opener | news journalism census | From chaos to clarity: A before-and-after upgrade journey :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/opener | claude census | From chaos to publish-ready format :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[medium] both/opener | news journalism census | From curation to personalization: The new frontier :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/opener | news journalism census | From data-driven to narrative: How AI learned the news :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/opener | news journalism census | From experiment to mainstream: How AI took over headlines :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/opener | mystery thriller census | From Genius Serial Killer to Credible Antagonist :: Overused AI term catalogued from the 'mystery thriller' census sweep (source count 1).
[medium] both/opener | real estate census | From hours to minutes :: Overused AI term catalogued from the 'real estate' census sweep (source count 1).
[medium] both/opener | marketing census | From HubSpot's video library :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[medium] both/opener | news journalism census | From hype to reality: the evolution of AI-generated news :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/opener | legal medical census | From innovation to implementation to cultural transformation :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[medium] both/opener | marketing census | From Maturity to Momentum :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[medium] both/opener | romance fiction census | From One "What If" PremiseTo a Finished Sci-Fi Novel :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[medium] both/opener | romance fiction census | From One Dark PremiseTo a Finished Dark Romance Novel :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[medium] both/opener | romance fiction census | From One Romance IdeaTo a Finished Romance Novel :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[medium] both/opener | romance fiction census | From One Small Town IdeaTo a Finished Romance Novel :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[medium] both/opener | romance fiction census | From Passive Consumption to Interactive Creation :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[medium] both/opener | mystery thriller census | From Predictable Investigation to Innovative Structure :: Overused AI term catalogued from the 'mystery thriller' census sweep (source count 1).
[medium] both/opener | news journalism census | From printing press to algorithm: A brief, wild history :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/opener | claude census | From Prompts to Skills: The Conversion :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[medium] both/opener | news journalism census | From quirky experiment to global disruptor :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/opener | news journalism census | From robot reporters to generative newsrooms :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/opener | claude census | from the Big Bang to dark matter :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[medium] both/opener | romance fiction census | From the Editors :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[medium] both/opener | marketing census | From the HubSpot Podcast Network :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[medium] both/opener | scifi horror census | From the Publisher :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[medium] both/opener | love-at-first/narrative | From the very first time I saw you :: Flagged by human cliché guides ('when I first saw you / walked into the room'); AI defaults to this narrative-origin opener to start a love story on autopilot.
[medium] both/opener | news journalism census | From typewriter to neural net: A brief, brutal history :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/opener | legal medical census | From Weak to Strong: A Legal Prompt Comparison :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[medium] both/opener | filler-phrase | I am passionate about :: Generic cover-letter opener AI substitutes for a specific, concrete motivation.
[medium] both/opener | validation-before-answer | I appreciate your question :: Formulaic validation softener that precedes the actual answer; assistant-voice politeness tic rare in human writing.
[medium] both/opener | refusal-template | I cannot provide :: Canonical refusal opener followed by a safety/values rationale; a direct assistant-alignment leak.
[medium] both/opener | general occasion | I hope this message finds you well :: Documented formal-email template opener AI overuses even in casual contexts.
